#pages	 proc	         sum
160	 0.000361	 1048480
161	 0.000350	 1048432
162	 0.000349	 1048464
163	 0.000349	 1048416
164	 0.000394	 1048452
165	 0.000349	 1048575
166	 0.000349	 1048456
167	 0.000350	 1048426
168	 0.000377	 1048488
169	 0.000350	 1048476
170	 0.000347	 1048560
171	 0.000347	 1048572
172	 0.000352	 1048512
173	 0.000347	 1048553
174	 0.000347	 1048524
175	 0.000346	 1048425
176	 0.000346	 1048432
177	 0.000346	 1048548
178	 0.000349	 1048420
179	 0.000346	 1048403
180	 0.000345	 1048500
181	 0.000346	 1048533
182	 0.000345	 1048502
183	 0.000345	 1048407
184	 0.000345	 1048432
185	 0.000345	 1048395
186	 0.000344	 1048482
187	 0.000345	 1048509
188	 0.000344	 1048476
189	 0.000343	 1048572
190	 0.000347	 1048420
191	 0.000344	 1048399
192	 0.000343	 1048512
193	 0.000343	 1048569
194	 0.000343	 1048570
195	 0.000343	 1048515
196	 0.000342	 1048404
197	 0.000342	 1048434
198	 0.000342	 1048410
199	 0.000343	 1048531
200	 0.000342	 1048400
201	 0.000343	 1048416
202	 0.000342	 1048380
203	 0.000342	 1048495
204	 0.000341	 1048560
205	 0.000341	 1048575
206	 0.000354	 1048540
207	 0.000341	 1048455
208	 0.000340	 1048528
209	 0.000340	 1048553
210	 0.000340	 1048530
211	 0.000341	 1048459
212	 0.000341	 1048552
213	 0.000344	 1048386
214	 0.000339	 1048386
215	 0.000340	 1048555
216	 0.000339	 1048464
217	 0.000340	 1048544
218	 0.000339	 1048362
219	 0.000339	 1048572
220	 0.000345	 1048520
221	 0.000339	 1048424
222	 0.000339	 1048506
223	 0.000338	 1048546
224	 0.000338	 1048544
225	 0.000354	 1048500
226	 0.000338	 1048414
227	 0.000338	 1048513
228	 0.000339	 1048572
229	 0.000339	 1048362
230	 0.000338	 1048570
231	 0.000337	 1048509
232	 0.000337	 1048408
233	 0.000338	 1048500
234	 0.000337	 1048554
235	 0.000337	 1048570
236	 0.000337	 1048548
237	 0.000343	 1048488
238	 0.000337	 1048390
239	 0.000337	 1048493
240	 0.000337	 1048560
241	 0.000336	 1048350
242	 0.000336	 1048344
243	 0.000336	 1048545
244	 0.000336	 1048468
245	 0.000336	 1048355
246	 0.000336	 1048452
247	 0.000337	 1048515
248	 0.000338	 1048544
249	 0.000336	 1048539
250	 0.000336	 1048500
251	 0.000335	 1048427
252	 0.000336	 1048572
253	 0.000335	 1048432
254	 0.000335	 1048512
255	 0.000335	 1048560
256	 0.000348	 1048576
257	 0.000334	 1048560
258	 0.000335	 1048512
259	 0.000334	 1048432
260	 0.000338	 1048320
261	 0.000334	 1048437
262	 0.000334	 1048524
263	 0.000334	 1048318
264	 0.000334	 1048344
265	 0.000334	 1048340
266	 0.000334	 1048572
267	 0.000334	 1048509
268	 0.000334	 1048416
269	 0.000333	 1048562
270	 0.000334	 1048410
271	 0.000334	 1048499
272	 0.000336	 1048560
273	 0.000333	 1048320
274	 0.000333	 1048324
275	 0.000334	 1048575
276	 0.000333	 1048524
277	 0.000333	 1048445
278	 0.000333	 1048338
279	 0.000333	 1048482
280	 0.000333	 1048320
281	 0.000333	 1048411
282	 0.000332	 1048476
283	 0.000333	 1048515
284	 0.000373	 1048528
285	 0.000381	 1048515
286	 0.000396	 1048476
287	 0.000332	 1048411
288	 0.000332	 1048320
289	 0.000332	 1048492
290	 0.000332	 1048350
291	 0.000332	 1048473
292	 0.000332	 1048572
293	 0.000332	 1048354
294	 0.000331	 1048404
295	 0.000332	 1048430
296	 0.000338	 1048432
297	 0.000332	 1048410
298	 0.000331	 1048364
299	 0.000331	 1048294
300	 0.000332	 1048500
301	 0.000330	 1048383
302	 0.000332	 1048544
303	 0.000331	 1048380
304	 0.000345	 1048496
305	 0.000331	 1048285
306	 0.000330	 1048356
307	 0.000331	 1048405
308	 0.000333	 1048432
309	 0.000330	 1048437
310	 0.000331	 1048420
311	 0.000330	 1048381
312	 0.000331	 1048320
313	 0.000330	 1048550
314	 0.000330	 1048446
315	 0.000330	 1048320
316	 0.000330	 1048488
317	 0.000330	 1048319
318	 0.000330	 1048446
319	 0.000331	 1048553
320	 0.000335	 1048320
321	 0.000329	 1048386
322	 0.000330	 1048432
323	 0.000329	 1048458
324	 0.000330	 1048464
325	 0.000330	 1048450
326	 0.000330	 1048416
327	 0.000329	 1048362
328	 0.000330	 1048288
329	 0.000329	 1048523
330	 0.000329	 1048410
331	 0.000330	 1048277
332	 0.000332	 1048456
333	 0.000329	 1048284
334	 0.000329	 1048426
335	 0.000329	 1048550
336	 0.000329	 1048320
337	 0.000329	 1048407
338	 0.000328	 1048476
339	 0.000329	 1048527
340	 0.000329	 1048560
341	 0.000328	 1048575
342	 0.000329	 1048572
343	 0.000328	 1048551
344	 0.000343	 1048512
345	 0.000328	 1048455
346	 0.000329	 1048380
347	 0.000328	 1048287
348	 0.000328	 1048524
349	 0.000328	 1048396
350	 0.000328	 1048250
351	 0.000328	 1048437
352	 0.000328	 1048256
353	 0.000328	 1048410
354	 0.000328	 1048548
355	 0.000340	 1048315
356	 0.000330	 1048420
357	 0.000328	 1048509
358	 0.000327	 1048224
359	 0.000327	 1048280
360	 0.000327	 1048320
361	 0.000327	 1048344
362	 0.000328	 1048352
363	 0.000327	 1048344
364	 0.000328	 1048320
365	 0.000327	 1048280
366	 0.000327	 1048224
367	 0.000328	 1048519
368	 0.000330	 1048432
369	 0.000327	 1048329
370	 0.000327	 1048210
371	 0.000327	 1048446
372	 0.000327	 1048296
373	 0.000327	 1048503
374	 0.000327	 1048322
375	 0.000326	 1048500
376	 0.000327	 1048288
377	 0.000327	 1048437
378	 0.000327	 1048572
379	 0.000326	 1048314
380	 0.000329	 1048420
381	 0.000327	 1048512
382	 0.000326	 1048208
383	 0.000327	 1048271
384	 0.000326	 1048320
385	 0.000327	 1048355
386	 0.000326	 1048376
387	 0.000327	 1048383
388	 0.000326	 1048376
389	 0.000326	 1048355
390	 0.000326	 1048320
391	 0.000326	 1048271
392	 0.000326	 1048208
393	 0.000330	 1048524
394	 0.000326	 1048434
395	 0.000327	 1048330
396	 0.000325	 1048212
397	 0.000326	 1048477
398	 0.000326	 1048332
399	 0.000326	 1048572
400	 0.000326	 1048400
401	 0.000326	 1048214
402	 0.000325	 1048416
403	 0.000326	 1048203
404	 0.000338	 1048380
405	 0.000327	 1048545
406	 0.000325	 1048292
407	 0.000325	 1048432
408	 0.000326	 1048560
409	 0.000325	 1048267
410	 0.000326	 1048370
411	 0.000326	 1048461
412	 0.000326	 1048540
413	 0.000325	 1048194
414	 0.000325	 1048248
415	 0.000325	 1048290
416	 0.000325	 1048320
417	 0.000328	 1048338
418	 0.000325	 1048344
419	 0.000326	 1048338
420	 0.000325	 1048320
421	 0.000325	 1048290
422	 0.000325	 1048248
423	 0.000324	 1048194
424	 0.000326	 1048552
425	 0.000326	 1048475
426	 0.000326	 1048386
427	 0.000325	 1048285
428	 0.000325	 1048172
429	 0.000328	 1048476
430	 0.000325	 1048340
431	 0.000324	 1048192
432	 0.000325	 1048464
433	 0.000325	 1048293
434	 0.000325	 1048544
435	 0.000325	 1048350
436	 0.000324	 1048144
437	 0.000325	 1048363
438	 0.000325	 1048572
439	 0.000324	 1048332
440	 0.000324	 1048520
441	 0.000324	 1048257
442	 0.000327	 1048424
443	 0.000324	 1048138
444	 0.000324	 1048284
445	 0.000324	 1048420
446	 0.000324	 1048546
447	 0.000324	 1048215
448	 0.000325	 1048320
449	 0.000324	 1048415
450	 0.000325	 1048500
451	 0.000324	 1048575
452	 0.000324	 1048188
453	 0.000324	 1048242
454	 0.000327	 1048286
455	 0.000324	 1048320
456	 0.000324	 1048344
457	 0.000337	 1048358
458	 0.000324	 1048362
459	 0.000324	 1048356
460	 0.000323	 1048340
461	 0.000324	 1048314
462	 0.000323	 1048278
463	 0.000324	 1048232
464	 0.000325	 1048176
465	 0.000324	 1048575
466	 0.000326	 1048500
467	 0.000324	 1048415
468	 0.000323	 1048320
469	 0.000324	 1048215
470	 0.000324	 1048570
471	 0.000323	 1048446
472	 0.000324	 1048312
473	 0.000323	 1048168
474	 0.000323	 1048488
475	 0.000323	 1048325
476	 0.000323	 1048152
477	 0.000323	 1048446
478	 0.000325	 1048254
479	 0.000323	 1048531
480	 0.000323	 1048320
481	 0.000323	 1048099
482	 0.000323	 1048350
483	 0.000323	 1048110
484	 0.000323	 1048344
485	 0.000323	 1048570
486	 0.000323	 1048302
487	 0.000323	 1048511
488	 0.000323	 1048224
489	 0.000323	 1048416
490	 0.000323	 1048110
491	 0.000324	 1048285
492	 0.000323	 1048452
493	 0.000323	 1048118
494	 0.000322	 1048268
495	 0.000322	 1048410
496	 0.000323	 1048544
497	 0.000323	 1048173
498	 0.000322	 1048290
499	 0.000323	 1048399
500	 0.000322	 1048500
501	 0.000323	 1048092
502	 0.000322	 1048176
503	 0.000324	 1048252
504	 0.000323	 1048320
505	 0.000323	 1048380
506	 0.000322	 1048432
507	 0.000322	 1048476
508	 0.000323	 1048512
509	 0.000323	 1048540
510	 0.000334	 1048560
511	 0.000322	 1048572
512	 0.000322	 1048576
513	 0.000323	 1048572
514	 0.000322	 1048560
515	 0.000324	 1048540
516	 0.000323	 1048512
517	 0.000322	 1048476
518	 0.000322	 1048432
519	 0.000322	 1048380
520	 0.000322	 1048320
521	 0.000322	 1048252
522	 0.000322	 1048176
523	 0.000322	 1048092
524	 0.000322	 1048524
525	 0.000322	 1048425
526	 0.000322	 1048318
527	 0.000322	 1048203
528	 0.000325	 1048080
529	 0.000322	 1048478
530	 0.000322	 1048340
531	 0.000322	 1048194
532	 0.000322	 1048572
533	 0.000322	 1048411
534	 0.000322	 1048242
535	 0.000321	 1048065
536	 0.000322	 1048416
537	 0.000322	 1048224
538	 0.000321	 1048562
539	 0.000321	 1048355
540	 0.000323	 1048140
541	 0.000322	 1048458
542	 0.000321	 1048228
543	 0.000322	 1048533
544	 0.000322	 1048288
545	 0.000321	 1048035
546	 0.000322	 1048320
547	 0.000321	 1048052
548	 0.000322	 1048324
549	 0.000321	 1048041
550	 0.000322	 1048300
551	 0.000322	 1048553
552	 0.000321	 1048248
553	 0.000324	 1048488
554	 0.000322	 1048168
555	 0.000321	 1048395
556	 0.000321	 1048060
557	 0.000321	 1048274
558	 0.000321	 1048482
559	 0.000332	 1048125
560	 0.000322	 1048320
561	 0.000321	 1048509
562	 0.000321	 1048130
563	 0.000321	 1048306
564	 0.000322	 1048476
565	 0.000324	 1048075
566	 0.000321	 1048232
567	 0.000321	 1048383
568	 0.000321	 1048528
569	 0.000321	 1048098
570	 0.000321	 1048230
571	 0.000320	 1048356
572	 0.000321	 1048476
573	 0.000321	 1048017
574	 0.000321	 1048124
575	 0.000321	 1048225
576	 0.000321	 1048320
577	 0.000323	 1048409
578	 0.000321	 1048492
579	 0.000321	 1048569
580	 0.000320	 1048060
581	 0.000321	 1048124
582	 0.000321	 1048182
583	 0.000321	 1048234
584	 0.000321	 1048280
585	 0.000320	 1048320
586	 0.000321	 1048354
587	 0.000321	 1048382
588	 0.000321	 1048404
589	 0.000320	 1048420
590	 0.000324	 1048430
591	 0.000321	 1048434
592	 0.000321	 1048432
593	 0.000321	 1048424
594	 0.000321	 1048410
595	 0.000321	 1048390
596	 0.000321	 1048364
597	 0.000320	 1048332
598	 0.000320	 1048294
599	 0.000321	 1048250
600	 0.000320	 1048200
601	 0.000320	 1048144
602	 0.000323	 1048082
603	 0.000320	 1048014
604	 0.000320	 1048544
605	 0.000320	 1048465
606	 0.000321	 1048380
607	 0.000320	 1048289
608	 0.000321	 1048192
609	 0.000320	 1048089
610	 0.000320	 1047980
611	 0.000320	 1048476
612	 0.000332	 1048356
613	 0.000320	 1048230
614	 0.000320	 1048098
615	 0.000323	 1048575
616	 0.000320	 1048432
617	 0.000320	 1048283
618	 0.000320	 1048128
619	 0.000320	 1047967
620	 0.000320	 1048420
621	 0.000320	 1048248
622	 0.000320	 1048070
623	 0.000320	 1048509
624	 0.000321	 1048320
625	 0.000320	 1048125
626	 0.000320	 1048550
627	 0.000322	 1048344
628	 0.000320	 1048132
629	 0.000320	 1048543
630	 0.000320	 1048320
631	 0.000320	 1048091
632	 0.000320	 1048488
633	 0.000320	 1048248
634	 0.000320	 1048002
635	 0.000320	 1048385
636	 0.000320	 1048128
637	 0.000320	 1048502
638	 0.000320	 1048234
639	 0.000322	 1047960
640	 0.000320	 1048320
641	 0.000319	 1048035
642	 0.000320	 1048386
643	 0.000319	 1048090
644	 0.000320	 1048432
645	 0.000320	 1048125
646	 0.000319	 1048458
647	 0.000320	 1048140
648	 0.000320	 1048464
649	 0.000319	 1048135
650	 0.000320	 1048450
651	 0.000319	 1048110
652	 0.000322	 1048416
653	 0.000320	 1048065
654	 0.000319	 1048362
655	 0.000320	 1048000
656	 0.000319	 1048288
657	 0.000320	 1048572
658	 0.000319	 1048194
659	 0.000320	 1048469
660	 0.000319	 1048080
661	 0.000320	 1048346
662	 0.000330	 1047946
663	 0.000320	 1048203
664	 0.000322	 1048456
665	 0.000319	 1048040
666	 0.000320	 1048284
667	 0.000319	 1048524
668	 0.000320	 1048092
669	 0.000320	 1048323
670	 0.000320	 1048550
671	 0.000319	 1048102
672	 0.000320	 1048320
673	 0.000319	 1048534
674	 0.000320	 1048070
675	 0.000319	 1048275
676	 0.000319	 1048476
677	 0.000322	 1047996
678	 0.000320	 1048188
679	 0.000319	 1048376
680	 0.000319	 1048560
681	 0.000319	 1048059
682	 0.000319	 1048234
683	 0.000320	 1048405
684	 0.000319	 1048572
685	 0.000319	 1048050
686	 0.000319	 1048208
687	 0.000319	 1048362
688	 0.000319	 1048512
689	 0.000321	 1047969
690	 0.000319	 1048110
691	 0.000319	 1048247
692	 0.000319	 1048380
693	 0.000320	 1048509
694	 0.000319	 1047940
695	 0.000318	 1048060
696	 0.000318	 1048176
697	 0.000319	 1048288
698	 0.000319	 1048396
699	 0.000319	 1048500
700	 0.000319	 1047900
701	 0.000319	 1047995
702	 0.000322	 1048086
703	 0.000319	 1048173
704	 0.000318	 1048256
705	 0.000319	 1048335
706	 0.000319	 1048410
707	 0.000319	 1048481
708	 0.000319	 1048548
709	 0.000319	 1047902
710	 0.000319	 1047960
711	 0.000319	 1048014
712	 0.000318	 1048064
713	 0.000319	 1048110
714	 0.000321	 1048152
715	 0.000319	 1048190
716	 0.000332	 1048224
717	 0.000318	 1048254
718	 0.000319	 1048280
719	 0.000319	 1048302
720	 0.000318	 1048320
721	 0.000319	 1048334
722	 0.000319	 1048344
723	 0.000319	 1048350
724	 0.000319	 1048352
725	 0.000319	 1048350
726	 0.000318	 1048344
727	 0.000322	 1048334
728	 0.000318	 1048320
729	 0.000319	 1048302
730	 0.000318	 1048280
731	 0.000319	 1048254
732	 0.000318	 1048224
733	 0.000319	 1048190
734	 0.000318	 1048152
735	 0.000318	 1048110
736	 0.000319	 1048064
737	 0.000318	 1048014
738	 0.000318	 1047960
739	 0.000332	 1047902
740	 0.000318	 1047840
741	 0.000318	 1048515
742	 0.000319	 1048446
743	 0.000318	 1048373
744	 0.000318	 1048296
745	 0.000319	 1048215
746	 0.000318	 1048130
747	 0.000319	 1048041
748	 0.000318	 1047948
749	 0.000318	 1047851
750	 0.000318	 1048500
751	 0.000319	 1048396
752	 0.000322	 1048288
753	 0.000318	 1048176
754	 0.000319	 1048060
755	 0.000319	 1047940
756	 0.000318	 1048572
757	 0.000319	 1048445
758	 0.000319	 1048314
759	 0.000318	 1048179
760	 0.000318	 1048040
761	 0.000318	 1047897
762	 0.000318	 1048512
763	 0.000318	 1048362
764	 0.000320	 1048208
765	 0.000318	 1048050
766	 0.000329	 1047888
767	 0.000318	 1048489
768	 0.000318	 1048320
769	 0.000318	 1048147
770	 0.000317	 1047970
771	 0.000319	 1048560
772	 0.000318	 1048376
773	 0.000318	 1048188
774	 0.000317	 1047996
775	 0.000319	 1048575
776	 0.000318	 1048376
777	 0.000321	 1048173
778	 0.000318	 1047966
779	 0.000318	 1048534
780	 0.000318	 1048320
781	 0.000318	 1048102
782	 0.000317	 1047880
783	 0.000318	 1048437
784	 0.000318	 1048208
785	 0.000318	 1047975
786	 0.000318	 1048524
787	 0.000317	 1048284
788	 0.000318	 1048040
789	 0.000320	 1047792
790	 0.000318	 1048330
791	 0.000318	 1048075
792	 0.000317	 1047816
793	 0.000319	 1048346
794	 0.000317	 1048080
795	 0.000318	 1047810
796	 0.000318	 1048332
797	 0.000318	 1048055
798	 0.000318	 1048572
799	 0.000318	 1048288
800	 0.000317	 1048000
801	 0.000318	 1048509
802	 0.000321	 1048214
803	 0.000317	 1047915
804	 0.000318	 1048416
805	 0.000318	 1048110
806	 0.000318	 1047800
807	 0.000317	 1048293
808	 0.000318	 1047976
809	 0.000318	 1048464
810	 0.000317	 1048140
811	 0.000317	 1047812
812	 0.000318	 1048292
813	 0.000317	 1047957
814	 0.000320	 1048432
815	 0.000317	 1048090
816	 0.000318	 1048560
817	 0.000318	 1048211
818	 0.000317	 1047858
819	 0.000318	 1048320
820	 0.000328	 1047960
821	 0.000318	 1048417
822	 0.000317	 1048050
823	 0.000318	 1048502
824	 0.000317	 1048128
825	 0.000318	 1048575
826	 0.000317	 1048194
827	 0.000320	 1047809
828	 0.000317	 1048248
829	 0.000317	 1047856
830	 0.000318	 1048290
831	 0.000317	 1047891
832	 0.000318	 1048320
833	 0.000317	 1047914
834	 0.000318	 1048338
835	 0.000317	 1047925
836	 0.000318	 1048344
837	 0.000318	 1047924
838	 0.000317	 1048338
839	 0.000317	 1047911
840	 0.000318	 1048320
841	 0.000317	 1047886
842	 0.000317	 1048290
843	 0.000318	 1047849
844	 0.000317	 1048248
845	 0.000317	 1047800
846	 0.000318	 1048194
847	 0.000318	 1047739
848	 0.000317	 1048128
849	 0.000317	 1048515
850	 0.000317	 1048050
851	 0.000318	 1048432
852	 0.000320	 1047960
853	 0.000317	 1048337
854	 0.000317	 1047858
855	 0.000317	 1048230
856	 0.000317	 1047744
857	 0.000317	 1048111
858	 0.000317	 1048476
859	 0.000317	 1047980
860	 0.000317	 1048340
861	 0.000317	 1047837
862	 0.000317	 1048192
863	 0.000318	 1048545
864	 0.000317	 1048032
865	 0.000319	 1048380
866	 0.000317	 1047860
867	 0.000317	 1048203
868	 0.000317	 1048544
869	 0.000317	 1048014
870	 0.000317	 1048350
871	 0.000317	 1047813
872	 0.000317	 1048144
873	 0.000328	 1048473
874	 0.000317	 1047926
875	 0.000317	 1048250
876	 0.000317	 1048572
877	 0.000320	 1048015
878	 0.000317	 1048332
879	 0.000317	 1047768
880	 0.000317	 1048080
881	 0.000317	 1048390
882	 0.000317	 1047816
883	 0.000317	 1048121
884	 0.000317	 1048424
885	 0.000317	 1047840
886	 0.000317	 1048138
887	 0.000317	 1048434
888	 0.000317	 1047840
889	 0.000317	 1048131
890	 0.000319	 1048420
891	 0.000317	 1047816
892	 0.000317	 1048100
893	 0.000317	 1048382
894	 0.000316	 1047768
895	 0.000316	 1048045
896	 0.000317	 1048320
897	 0.000317	 1047696
898	 0.000317	 1047966
899	 0.000317	 1048234
900	 0.000317	 1048500
901	 0.000317	 1047863
902	 0.000319	 1048124
903	 0.000317	 1048383
904	 0.000317	 1047736
905	 0.000317	 1047990
906	 0.000316	 1048242
907	 0.000317	 1048492
908	 0.000317	 1047832
909	 0.000317	 1048077
910	 0.000317	 1048320
911	 0.000317	 1048561
912	 0.000317	 1047888
913	 0.000317	 1048124
914	 0.000316	 1048358
915	 0.000320	 1047675
916	 0.000317	 1047904
917	 0.000317	 1048131
918	 0.000317	 1048356
919	 0.000316	 1047660
920	 0.000317	 1047880
921	 0.000317	 1048098
922	 0.000317	 1048314
923	 0.000316	 1048528
924	 0.000329	 1047816
925	 0.000317	 1048025
926	 0.000316	 1048232
927	 0.000320	 1048437
928	 0.000316	 1047712
929	 0.000317	 1047912
930	 0.000316	 1048110
931	 0.000317	 1048306
932	 0.000316	 1048500
933	 0.000317	 1047759
934	 0.000316	 1047948
935	 0.000317	 1048135
936	 0.000316	 1048320
937	 0.000317	 1048503
938	 0.000316	 1047746
939	 0.000316	 1047924
940	 0.000319	 1048100
941	 0.000316	 1048274
942	 0.000317	 1048446
943	 0.000316	 1047673
944	 0.000316	 1047840
945	 0.000317	 1048005
946	 0.000316	 1048168
947	 0.000317	 1048329
948	 0.000316	 1048488
949	 0.000317	 1047696
950	 0.000316	 1047850
951	 0.000317	 1048002
952	 0.000316	 1048152
953	 0.000320	 1048300
954	 0.000316	 1048446
955	 0.000316	 1047635
956	 0.000317	 1047776
957	 0.000316	 1047915
958	 0.000316	 1048052
959	 0.000316	 1048187
960	 0.000317	 1048320
961	 0.000316	 1048451
962	 0.000316	 1047618
963	 0.000316	 1047744
964	 0.000316	 1047868
965	 0.000319	 1047990
966	 0.000316	 1048110
967	 0.000316	 1048228
968	 0.000317	 1048344
969	 0.000316	 1048458
970	 0.000316	 1048570
971	 0.000316	 1047709
972	 0.000316	 1047816
973	 0.000317	 1047921
974	 0.000317	 1048024
975	 0.000316	 1048125
976	 0.000316	 1048224
977	 0.000316	 1048321
978	 0.000330	 1048416
979	 0.000316	 1048509
980	 0.000316	 1047620
981	 0.000316	 1047708
982	 0.000316	 1047794
983	 0.000316	 1047878
984	 0.000316	 1047960
985	 0.000316	 1048040
986	 0.000316	 1048118
987	 0.000317	 1048194
988	 0.000316	 1048268
989	 0.000316	 1048340
990	 0.000318	 1048410
991	 0.000317	 1048478
992	 0.000316	 1048544
993	 0.000316	 1047615
994	 0.000316	 1047676
995	 0.000316	 1047735
996	 0.000316	 1047792
997	 0.000315	 1047847
998	 0.000316	 1047900
999	 0.000316	 1047951
1000	 0.000316	 1048000
1001	 0.000316	 1048047
1002	 0.000317	 1048092
1003	 0.000318	 1048135
1004	 0.000316	 1048176
1005	 0.000316	 1048215
1006	 0.000316	 1048252
1007	 0.000316	 1048287
1008	 0.000316	 1048320
1009	 0.000316	 1048351
1010	 0.000316	 1048380
1011	 0.000316	 1048407
1012	 0.000316	 1048432
1013	 0.000316	 1048455
1014	 0.000316	 1048476
1015	 0.000317	 1048495
1016	 0.000319	 1048512
1017	 0.000316	 1048527
1018	 0.000316	 1048540
1019	 0.000316	 1048551
1020	 0.000316	 1048560
1021	 0.000316	 1048567
1022	 0.000316	 1048572
1023	 0.000316	 1048575
1024	 0.000316	 1048576
1025	 0.000317	 1048575
1026	 0.000317	 1048572
1027	 0.000317	 1048567
1028	 0.000319	 1048560
1029	 0.000326	 1048551
1030	 0.000315	 1048540
1031	 0.000316	 1048527
1032	 0.000316	 1048512
1033	 0.000316	 1048495
1034	 0.000316	 1048476
1035	 0.000316	 1048455
1036	 0.000316	 1048432
1037	 0.000316	 1048407
1038	 0.000316	 1048380
1039	 0.000316	 1048351
1040	 0.000316	 1048320
1041	 0.000319	 1048287
1042	 0.000315	 1048252
1043	 0.000316	 1048215
1044	 0.000316	 1048176
1045	 0.000316	 1048135
1046	 0.000316	 1048092
1047	 0.000315	 1048047
1048	 0.000316	 1048000
1049	 0.000316	 1047951
1050	 0.000316	 1047900
1051	 0.000316	 1047847
1052	 0.000316	 1047792
1053	 0.000318	 1047735
1054	 0.000315	 1047676
1055	 0.000316	 1047615
1056	 0.000316	 1047552
1057	 0.000316	 1048544
1058	 0.000316	 1048478
1059	 0.000315	 1048410
1060	 0.000316	 1048340
1061	 0.000316	 1048268
1062	 0.000315	 1048194
1063	 0.000316	 1048118
1064	 0.000316	 1048040
1065	 0.000315	 1047960
1066	 0.000318	 1047878
1067	 0.000316	 1047794
1068	 0.000315	 1047708
1069	 0.000316	 1047620
